Distance (m),Noise Env,Tapering,Coherence,Map PAPR (dB),ISL (dB),Trust?,T_Coh (ms),T_BF (ms)
10.0,Low Noise (Quiet),none,0.127,14.0,-5.1,Yes,312.6,1530.1
10.0,Low Noise (Quiet),hanning,0.127,12.5,-4.6,Yes,312.6,1519.2
10.0,High Sensor Noise,none,0.088,13.6,-3.8,No,310.9,1520.5
10.0,High Sensor Noise,hanning,0.088,12.1,-3.4,No,310.9,1523.1
10.0,High Ambient (Wind),none,0.161,14.0,-5.1,Yes,308.4,1518.0
10.0,High Ambient (Wind),hanning,0.161,12.5,-4.6,Yes,308.4,1523.6
50.0,Low Noise (Quiet),none,0.105,14.0,-5.2,Yes,308.0,1524.6
50.0,Low Noise (Quiet),hanning,0.105,12.5,-4.6,Yes,308.0,1532.3
50.0,High Sensor Noise,none,0.076,9.2,4.2,No,306.6,1531.5
50.0,High Sensor Noise,hanning,0.076,7.5,4.6,No,306.6,1518.6
50.0,High Ambient (Wind),none,0.134,14.0,-5.1,Yes,310.7,1532.0
50.0,High Ambient (Wind),hanning,0.134,12.5,-4.6,Yes,310.7,1526.3
100.0,Low Noise (Quiet),none,0.097,14.0,-5.0,No,310.0,1536.9
100.0,Low Noise (Quiet),hanning,0.097,12.4,-4.5,No,310.0,1516.7
100.0,High Sensor Noise,none,0.069,5.0,8.2,No,305.9,1528.4
100.0,High Sensor Noise,hanning,0.069,3.8,8.3,No,305.9,1527.4
100.0,High Ambient (Wind),none,0.123,14.0,-5.0,Yes,309.4,1526.9
100.0,High Ambient (Wind),hanning,0.123,12.4,-4.5,Yes,309.4,1512.9
200.0,Low Noise (Quiet),none,0.093,13.9,-4.5,No,309.7,1525.7
200.0,Low Noise (Quiet),hanning,0.093,12.3,-4.0,No,309.7,1524.2
200.0,High Sensor Noise,none,0.064,1.9,10.3,No,307.5,1511.7
200.0,High Sensor Noise,hanning,0.064,1.3,10.4,No,307.5,1531.4
200.0,High Ambient (Wind),none,0.117,13.8,-4.3,Yes,310.9,1531.3
200.0,High Ambient (Wind),hanning,0.117,12.2,-3.8,Yes,310.9,1569.7
